rhui-6-mrg-g-2.0-6Server-i386,Red Hat Enterprise Linux 6 Update Infrastructure MRG 2.0 (RPMs) (6Server-i386),https://cdn.redhat.com/content/dist/rhel/rhui/server/6/6Server/i386/mrg-g/2.0/os
rhui-6-mrg-g-2.0-debug-6Server-i386,Red Hat Enterprise Linux 6 Update Infrastructure MRG 2.0 (Debug) (6Server-i386),https://cdn.redhat.com/content/dist/rhel/rhui/server/6/6Server/i386/mrg-g/2.0/debug
rhui-6-mrg-g-2.0-6Server-x86_64,Red Hat Enterprise Linux 6 Update Infrastructure MRG 2.0 (RPMs) (6Server-x86_64),https://cdn.redhat.com/content/dist/rhel/rhui/server/6/6Server/x86_64/mrg-g/2.0/os
rhui-vsa-1.0-rpms-x86_64,Red Hat Enterprise Linux Update Infrastructure VSA 1.0 (RPMS) (x86_64),https://cdn.redhat.com/content/dist/rhes/rhui/vsa/1.0/x86_64/os
rhel-6.2-scalefs-rhui-server-for-rhs-beta-debug-rpms-x86_64,Red Hat Enterprise Linux 6.2 Scalable File System for RHS 2 VSA Beta (Debug RPMs) from RHUI (x86_64),https://cdn.redhat.com/content/beta/rhs/rhui/vsa/2.0/x86_64/rhel/6.2/scalablefilesystem/debug
rhs-2-beta-for-rhel-6-rhui-server-debug-rpms-x86_64,Red Hat Storage 2 VSA Beta (Debug RPMs) from RHUI (x86_64),https://cdn.redhat.com/content/beta/rhs/rhui/vsa/2.0/x86_64/debug
rhui-client-config-rhel-beta-server-6-vsa2,Red Hat Update Infrastructure 2.0 Client Configuration Server 6 Beta VSA 2.0,
rhui-client-config-rhel-server-6-i386-jbeap-6,Red Hat Update Infrastructure 2.0 Client Configuration Server 6 i386 JBoss EAP 6,
rhs-2-rhel-6.2-sfs-for-rhui-srpms-x86_64,Red Hat Storage 2.0 for RHUI Scalable Filesystem 6.2 (source) (x86_64),https://cdn.redhat.com/content/dist/rhs/rhui/server/2.0/x86_64/rhel/6.2/scalablefilesystem/source/SRPMS
rhui-6-mrg-g-2.0-srpms-6Server-i386,Red Hat Enterprise Linux 6 Update Infrastructure MRG 2.0 (SRPMS) (6Server-i386),https://cdn.redhat.com/content/dist/rhel/rhui/server/6/6Server/i386/mrg-g/2.0/source/SRPMS
rhui-client-config-beta-rhel-server-5-i386-os,Red Hat Update Infrastructure 2.0 Client Configuration Server 5 i386 Beta,
rhel-server-6-jbews-2-srpms-6Server-i386,Red Hat Enterprise Linux Server 6 JBoss EWS 2 (SRPMs) (6Server-i386),https://cdn.redhat.com/content/dist/rhel/rhui/server/6/6Server/i386/jbews/2/source/SRPMS
rhel-server-6-jbews-2-srpms-6Server-x86_64,Red Hat Enterprise Linux Server 6 JBoss EWS 2 (SRPMs) (6Server-x86_64),https://cdn.redhat.com/content/dist/rhel/rhui/server/6/6Server/x86_64/jbews/2/source/SRPMS
rhel-rhui-server-5-supplementary-srpms-5Server-x86_64,Red Hat Enterprise Linux Server 5 supplementary (SRPMs) (5Server-x86_64),https://cdn.redhat.com/content/dist/rhel/rhui/server/5/5Server/x86_64/supplementary/source/SRPMS
rhel-rhui-server-5-supplementary-srpms-5Server-i386,Red Hat Enterprise Linux Server 5 supplementary (SRPMs) (5Server-i386),https://cdn.redhat.com/content/dist/rhel/rhui/server/5/5Server/i386/supplementary/source/SRPMS
rhel-rhui-server-5-supplementary-debug-5Server-i386,Red Hat Enterprise Linux Server 5 supplementary Debug (5Server-i386),https://cdn.redhat.com/content/dist/rhel/rhui/server/5/5Server/i386/supplementary/debug
rhui-5-mrg-g-2.0-srpms-5Server-i386,Red Hat Enterprise Linux 5 Update Infrastructure MRG 2.0 (SRPMS) (5Server-i386),https://cdn.redhat.com/content/dist/rhel/rhui/server/5/5Server/i386/mrg-g/2.0/source/SRPMS
rhui-2.0-6Server-x86_64,Red Hat Update Infrastructure 2.0 (RPMs) (6Server-x86_64),https://cdn.redhat.com/content/dist/rhel/rhui/server/6/6Server/x86_64/rhui/2.0/os
rhs-2.1-for-rhel-6-rhui-server-source-rpms-x86_64,Red Hat Storage Server 2.1 for Public Cloud (Source RPMs) from RHUI (x86_64),https://cdn.redhat.com//content/dist/rhs/rhui/server/2.1/x86_64/source/SRPMS
rhel-rhui-server-6-supplementary-debug-6Server-i386,RHEL RHUI Server 6 Supplementary Debug (6Server-i386),https://cdn.redhat.com/content/dist/rhel/rhui/server/6/6Server/i386/supplementary/debug
rhel-rhui-server-6-supplementary-os-6Server-i386,RHEL RHUI Server 6 Supplementary OS (6Server-i386),https://cdn.redhat.com/content/dist/rhel/rhui/server/6/6Server/i386/supplementary/os
rhui-rhel-6-highavailability-debug-6Server-i386,RHUI RHEL 6 (highavailability debug) (6Server-i386),https://cdn.redhat.com/content/dist/rhel/rhui/server/6/6Server/i386/highavailability/debug
rhel-rhui-server-6-rhscl-1-os-6Server-i386,RHEL RHUI Server 6 Rhscl 1 OS (6Server-i386),https://cdn.redhat.com/content/dist/rhel/rhui/server/6/6Server/i386/rhscl/1/os
rhel-rhui-server-6-rh-common-os-6Server-x86_64,RHEL RHUI Server 6 Rh-common OS (6Server-x86_64),https://cdn.redhat.com//content/dist/rhel/rhui/server/6/6Server/x86_64/rh-common/os
rhel-rhui-server-6-rh-common-debug-6Server-i386,RHEL RHUI Server 6 Rh-common Debug (6Server-i386),https://cdn.redhat.com//content/dist/rhel/rhui/server/6/6Server/i386/rh-common/debug
rhel-server-5-5Server-x86_64,Red Hat Enterprise Linux Server 5 (RPMs) (5Server-x86_64),https://cdn.redhat.com/content/dist/rhel/rhui/server/5/5Server/x86_64/os
rhui-vsa-rhel-6.1-rpms-x86_64,Red Hat Enterprise Linux Update Infrastructure VSA RHEL 6.1 (RPMS) (x86_64),https://cdn.redhat.com/content/dist/rhes/rhui/vsa/1.0/x86_64/rhel/6.1/os
rhui-6-loadbalancer-6Server-i386,Red Hat Enterprise Linux 6 Update Infrastructure Load Balancer (6Server-i386),https://cdn.redhat.com/content/dist/rhel/rhui/server/6/6Server/i386/loadbalancer/os
rhui-6-loadbalancer-6Server-x86_64,Red Hat Enterprise Linux 6 Update Infrastructure Load Balancer (6Server-x86_64),https://cdn.redhat.com/content/dist/rhel/rhui/server/6/6Server/x86_64/loadbalancer/os
rhel-server-6-jbews-srpms-6Server-x86_64,Red Hat Enterprise Linux Server 6 JBoss EWS (SRPMs) (6Server-x86_64),https://cdn.redhat.com/content/dist/rhel/rhui/server/6/6Server/x86_64/jbews/1/source/SRPMS
rhs-2-beta-for-rhel-6-rhui-server-rpms-x86_64,Red Hat Storage 2 VSA Beta (RPMs) from RHUI (x86_64),https://cdn.redhat.com/content/beta/rhs/rhui/vsa/2.0/x86_64/os
rhs-2-beta-for-rhel-6-rhui-server-source-rpms-x86_64,Red Hat Storage 2 VSA Beta (Source RPMs) from RHUI (x86_64),https://cdn.redhat.com/content/beta/rhs/rhui/vsa/2.0/x86_64/source/SRPMS
rhui-client-config-server-6-rhs,Red Hat Update Infrastructure 2.0 Client Configuration Server 6 Storage,
rhs-2-rhel-6.2-for-rhui-server-source-x86_64,Red Hat Storage 2.0 for RHUI RHEL 6.2 (source) (x86_64),https://cdn.redhat.com/content/dist/rhs/rhui/server/2.0/x86_64/rhel/6.2/source/SRPMS
